Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths",Tpye 
Liberia,9/23/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,9/23/2015,0,1,7,8,,,,6,Ebola
Italy,9/23/2015,0,0,1,1,,,,0,Ebola
Guinea,9/23/2015,7,453,3340,3800,,453,2079,2532,Ebola
United Kingdom,9/24/2015,0,0,1,1,,,,0,Ebola
Nigeria,9/24/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,9/24/2015,8,453,3340,3801,,453,2080,2533,Ebola
Sierra Leone,9/24/2015,4855,287,8704,13846,158,208,3589,3955,Ebola
Liberia,9/24/2015,,0,6,6,,,2,2,Ebola
Italy,9/24/2015,0,0,1,1,,,,0,Ebola
Liberia,9/24/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,9/24/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,9/24/2015,0,0,4,4,0,0,1,1,Ebola
Spain,9/24/2015,0,0,1,1,0,0,0,0,Ebola
Mali,9/24/2015,0,1,7,8,,,,6,Ebola
Guinea,9/25/2015,4,453,3340,3797,,453,2080,2533,Ebola
United States of America,9/25/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,9/25/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/25/2015,4864,287,8704,13855,158,208,3589,3955,Ebola
Liberia,9/25/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,9/25/2015,0,0,1,1,,,,0,Ebola
Mali,9/25/2015,0,1,7,8,,,,6,Ebola
Italy,9/25/2015,0,0,1,1,,,,0,Ebola
Spain,9/25/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,9/25/2015,,0,6,6,,,2,2,Ebola
Nigeria,9/25/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,9/28/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,9/28/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/28/2015,4903,287,8704,13894,158,208,3589,3955,Ebola
Liberia,9/28/2015,,0,6,6,,,2,2,Ebola
United States of America,9/28/2015,0,0,4,4,0,0,1,1,Ebola
Mali,9/28/2015,0,1,7,8,,,,6,Ebola
Senegal,9/28/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/28/2015,0,0,1,1,,,,0,Ebola
Guinea,9/28/2015,10,453,3342,3805,,453,2080,2533,Ebola
Nigeria,9/28/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,9/28/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,9/29/2015,4920,287,8704,13911,158,208,3589,3955,Ebola
Liberia,9/29/2015,,0,6,6,,,2,2,Ebola
Liberia,9/29/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,9/29/2015,0,0,4,4,0,0,1,1,Ebola
Spain,9/29/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/29/2015,0,1,19,20,0,1,7,8,Ebola
Mali,9/29/2015,0,1,7,8,,,,6,Ebola
Senegal,9/29/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/29/2015,0,0,1,1,,,,0,Ebola
Guinea,9/29/2015,8,453,3344,3805,,453,2080,2533,Ebola
United Kingdom,9/29/2015,0,0,1,1,,,,0,Ebola
United States of America,9/30/2015,0,0,4,4,0,0,1,1,Ebola
Mali,9/30/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,9/30/2015,4920,287,8704,13911,158,208,3589,3955,Ebola
Liberia,9/30/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,9/30/2015,0,0,1,1,,,,0,Ebola
Nigeria,9/30/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,9/30/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,9/30/2015,8,453,3344,3805,,453,2080,2533,Ebola
Spain,9/30/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,9/30/2015,0,0,1,1,,,,0,Ebola
Liberia,9/30/2015,,,6,6,,,2,2,Ebola
Liberia,10/1/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,10/1/2015,0,0,1,1,,,,0,Ebola
United Kingdom,10/1/2015,0,0,1,1,,,,0,Ebola
Guinea,10/1/2015,11,453,3344,3808,,453,2080,2533,Ebola
Mali,10/1/2015,0,1,7,8,,,,6,Ebola
United States of America,10/1/2015,0,0,4,4,0,0,1,1,Ebola
Spain,10/1/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,10/1/2015,,0,6,6,,,2,2,Ebola
Nigeria,10/1/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,10/1/2015,4937,287,8704,13928,158,208,3589,3955,Ebola
Senegal,10/1/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,10/2/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,10/2/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,10/2/2015,0,1,19,20,0,1,7,8,Ebola
Mali,10/2/2015,0,1,7,8,,,,6,Ebola
Spain,10/2/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,10/2/2015,12,453,3344,3809,,453,2080,2533,Ebola
Italy,10/2/2015,0,0,1,1,,,,0,Ebola
Liberia,10/2/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,10/2/2015,,0,6,6,,,2,2,Ebola
United Kingdom,10/2/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,10/2/2015,4940,287,8704,13931,158,208,3589,3955,Ebola
Guinea,10/5/2015,7,453,3344,3804,,453,2081,2534,Ebola
United States of America,10/5/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,10/5/2015,0,0,1,1,,,,0,Ebola
Italy,10/5/2015,0,0,1,1,,,,0,Ebola
Liberia,10/5/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,10/5/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,10/5/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,10/5/2015,4950,287,8704,13941,158,208,3589,3955,Ebola
Liberia,10/5/2015,,0,6,6,,,2,2,Ebola
Nigeria,10/5/2015,0,1,19,20,0,1,7,8,Ebola
Mali,10/5/2015,0,1,7,8,,,,6,Ebola
United Kingdom,10/6/2015,0,0,1,1,,,,0,Ebola
Liberia,10/6/2015,,0,6,6,,,2,2,Ebola
Senegal,10/6/2015,0,0,1,1,0,0,0,0,Ebola
Italy,10/6/2015,0,0,1,1,,,,0,Ebola
Mali,10/6/2015,0,1,7,8,,,,6,Ebola
Spain,10/6/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,10/6/2015,4954,287,8704,13945,158,208,3589,3955,Ebola
United States of America,10/6/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,10/6/2015,7,453,3344,3804,,453,2081,2534,Ebola
Nigeria,10/6/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,10/6/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,10/7/2015,7,453,3344,3804,,453,2081,2534,Ebola
Mali,10/7/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,10/7/2015,4954,287,8704,13945,158,208,3589,3955,Ebola
Nigeria,10/7/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,10/7/2015,,,6,6,,,2,2,Ebola
Italy,10/7/2015,0,0,1,1,,,,0,Ebola
United States of America,10/7/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,10/7/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,10/7/2015,0,0,1,1,,,,0,Ebola
Spain,10/7/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,10/7/2015,0,0,1,1,0,0,0,0,Ebola
Italy,10/8/2015,0,0,1,1,,,,0,Ebola
Liberia,10/8/2015,,0,6,6,,,2,2,Ebola
Guinea,10/8/2015,2,453,3344,3799,,453,2081,2534,Ebola
Liberia,10/8/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,10/8/2015,0,0,1,1,,,,0,Ebola
Senegal,10/8/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,10/8/2015,0,1,19,20,0,1,7,8,Ebola
Mali,10/8/2015,0,1,7,8,,,,6,Ebola
United States of America,10/8/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,10/8/2015,4965,287,8704,13956,158,208,3589,3955,Ebola
Spain,10/8/2015,0,0,1,1,0,0,0,0,Ebola
Spain,10/9/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,10/9/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,10/9/2015,4966,287,8704,13957,158,208,3589,3955,Ebola
United Kingdom,10/9/2015,0,0,1,1,,,,0,Ebola
Liberia,10/9/2015,,0,6,6,,,2,2,Ebola
Liberia,10/9/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,10/9/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,10/9/2015,0,0,4,4,0,0,1,1,Ebola
Italy,10/9/2015,0,0,1,1,,,,0,Ebola
Guinea,10/9/2015,3,453,3344,3800,,453,2081,2534,Ebola
Mali,10/9/2015,0,1,7,8,,,,6,Ebola
United Kingdom,10/13/2015,0,0,1,1,,,,0,Ebola
Liberia,10/13/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,10/13/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,10/13/2015,4991,287,8704,13982,158,208,3589,3955,Ebola
Liberia,10/13/2015,,0,6,6,,,2,2,Ebola
Nigeria,10/13/2015,0,1,19,20,0,1,7,8,Ebola
Spain,10/13/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,10/13/2015,3,453,3344,3800,,453,2081,2534,Ebola
Senegal,10/13/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,10/13/2015,0,0,4,4,0,0,1,1,Ebola
Mali,10/13/2015,0,1,7,8,,,,6,Ebola
United Kingdom,10/15/2015,0,0,1,1,,,,0,Ebola
Liberia,10/15/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,10/15/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,10/15/2015,4,453,3345,3802,,453,2081,2534,Ebola
Mali,10/15/2015,0,1,7,8,,,,6,Ebola
Spain,10/15/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,10/15/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,10/15/2015,5001,287,8704,13992,158,208,3589,3955,Ebola
Italy,10/15/2015,0,0,1,1,,,,0,Ebola
Liberia,10/15/2015,,0,6,6,,,2,2,Ebola
United States of America,10/15/2015,0,0,4,4,0,0,1,1,Ebola
United States of America,10/16/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,10/16/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,10/16/2015,0,0,1,1,0,0,0,0,Ebola
Italy,10/16/2015,0,0,1,1,,,,0,Ebola
Liberia,10/16/2015,,0,6,6,,,2,2,Ebola
Mali,10/16/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,10/16/2015,5001,287,8704,13992,158,208,3589,3955,Ebola
Guinea,10/16/2015,5,453,3346,3804,,453,2082,2535,Ebola
Nigeria,10/16/2015,0,1,19,20,0,1,7,8,Ebola
Spain,10/16/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,10/16/2015,0,0,1,1,,,,0,Ebola
Italy,10/20/2015,0,0,1,1,,,,0,Ebola
Nigeria,10/20/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,10/20/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,10/20/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,10/20/2015,3,453,3347,3803,,453,2082,2535,Ebola
Sierra Leone,10/20/2015,5010,287,8704,14001,158,208,3589,3955,Ebola
United Kingdom,10/20/2015,0,0,1,1,,,,0,Ebola
Spain,10/20/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,10/20/2015,,0,6,6,,,2,2,Ebola
Liberia,10/20/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,10/20/2015,0,1,7,8,,,,6,Ebola
Liberia,10/22/2015,,0,6,6,,,2,2,Ebola
Spain,10/22/2015,0,0,1,1,0,0,0,0,Ebola
Italy,10/22/2015,0,0,1,1,,,,0,Ebola
Nigeria,10/22/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,10/22/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,10/22/2015,5040,287,8704,14031,158,208,3589,3955,Ebola
United Kingdom,10/22/2015,0,0,1,1,,,,0,Ebola
Senegal,10/22/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,10/22/2015,1,453,3347,3801,,453,2082,2535,Ebola
Mali,10/22/2015,0,1,7,8,,,,6,Ebola
United States of America,10/22/2015,0,0,4,4,0,0,1,1,Ebola
Mali,10/23/2015,0,1,7,8,,,,6,Ebola
Nigeria,10/23/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,10/23/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,10/23/2015,0,0,1,1,,,,0,Ebola
Guinea,10/23/2015,1,453,3347,3801,,453,2082,2535,Ebola
Spain,10/23/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,10/23/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,10/23/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,10/23/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,10/23/2015,5047,287,8704,14038,158,208,3589,3955,Ebola
Italy,10/23/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,10/26/2015,5061,287,8704,14052,158,208,3589,3955,Ebola
Guinea,10/26/2015,1,453,3350,3804,,453,2082,2535,Ebola
Italy,10/26/2015,0,0,1,1,,,,0,Ebola
United Kingdom,10/26/2015,0,0,1,1,,,,0,Ebola
United States of America,10/26/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,10/26/2015,0,0,1,1,0,0,0,0,Ebola
Spain,10/26/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,10/26/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,10/26/2015,0,1,19,20,0,1,7,8,Ebola
Mali,10/26/2015,0,1,7,8,,,,6,Ebola
Liberia,10/26/2015,,,6,6,,,2,2,Ebola
Liberia,10/27/2015,,,6,6,,,2,2,Ebola
Mali,10/27/2015,0,1,7,8,,,,6,Ebola
Guinea,10/27/2015,3,453,3350,3806,,453,2082,2535,Ebola
United Kingdom,10/27/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,10/27/2015,5070,287,8704,14061,158,208,3589,3955,Ebola
Spain,10/27/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,10/27/2015,0,0,1,1,0,0,0,0,Ebola
Italy,10/27/2015,0,0,1,1,,,,0,Ebola
Nigeria,10/27/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,10/27/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,10/27/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,10/29/2015,5075,287,8704,14066,158,208,3589,3955,Ebola
Nigeria,10/29/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,10/29/2015,5,453,3350,3808,,453,2083,2536,Ebola
Liberia,10/29/2015,,,6,6,,,2,2,Ebola
Italy,10/29/2015,0,0,1,1,,,,0,Ebola
United Kingdom,10/29/2015,0,0,1,1,,,,0,Ebola
United States of America,10/29/2015,0,0,4,4,0,0,1,1,Ebola
Mali,10/29/2015,0,1,7,8,,,,6,Ebola
Senegal,10/29/2015,0,0,1,1,0,0,0,0,Ebola
Spain,10/29/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,10/29/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,10/30/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,10/30/2015,0,0,1,1,,,,0,Ebola
Nigeria,10/30/2015,0,1,19,20,0,1,7,8,Ebola
Italy,10/30/2015,0,0,1,1,,,,0,Ebola
Spain,10/30/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,10/30/2015,5076,287,8704,14067,158,208,3589,3955,Ebola
Liberia,10/30/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,10/30/2015,,,6,6,,,2,2,Ebola
United States of America,10/30/2015,0,0,4,4,0,0,1,1,Ebola
Mali,10/30/2015,0,1,7,8,,,,6,Ebola
Guinea,10/30/2015,5,453,3350,3808,,453,2083,2536,Ebola
Nigeria,11/3/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,11/3/2015,5098,287,8704,14089,158,208,3589,3955,Ebola
Liberia,11/3/2015,,,6,6,,,2,2,Ebola
United States of America,11/3/2015,0,0,4,4,0,0,1,1,Ebola
Mali,11/3/2015,0,1,7,8,,,,6,Ebola
Guinea,11/3/2015,6,453,3351,3810,,453,2083,2536,Ebola
United Kingdom,11/3/2015,0,0,1,1,,,,0,Ebola
Liberia,11/3/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,11/3/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,11/3/2015,0,0,1,1,0,0,0,0,Ebola
Italy,11/3/2015,0,0,1,1,,,,0,Ebola
Nigeria,11/5/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,11/5/2015,0,0,1,1,,,,0,Ebola
Mali,11/5/2015,0,1,7,8,,,,6,Ebola
Senegal,11/5/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/5/2015,,,6,6,,,2,2,Ebola
Sierra Leone,11/5/2015,5113,287,8704,14104,158,208,3589,3955,Ebola
Italy,11/5/2015,0,0,1,1,,,,0,Ebola
Spain,11/5/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/5/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,11/5/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,11/5/2015,1,453,3351,3805,,453,2083,2536,Ebola
Italy,11/6/2015,0,0,1,1,,,,0,Ebola
United Kingdom,11/6/2015,0,0,1,1,,,,0,Ebola
Liberia,11/6/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,11/6/2015,5118,287,8704,14109,158,208,3589,3955,Ebola
United States of America,11/6/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,11/6/2015,,,6,6,,,2,2,Ebola
Senegal,11/6/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,11/6/2015,1,453,3351,3805,,453,2083,2536,Ebola
Mali,11/6/2015,0,1,7,8,,,,6,Ebola
Spain,11/6/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,11/6/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,11/10/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,11/10/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,11/10/2015,1,453,3351,3805,,453,2083,2536,Ebola
Italy,11/10/2015,0,0,1,1,,,,0,Ebola
Spain,11/10/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/10/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,11/10/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,11/10/2015,0,0,1,1,,,,0,Ebola
Mali,11/10/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,11/10/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Liberia,11/10/2015,,,6,6,,,2,2,Ebola
Italy,11/11/2015,0,0,1,1,,,,0,Ebola
Guinea,11/11/2015,1,453,3351,3805,,453,2083,2536,Ebola
United Kingdom,11/11/2015,0,0,1,1,,,,0,Ebola
Liberia,11/11/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,11/11/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Mali,11/11/2015,0,1,7,8,,,,6,Ebola
United States of America,11/11/2015,0,0,4,4,0,0,1,1,Ebola
Spain,11/11/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/11/2015,,,6,6,,,2,2,Ebola
Nigeria,11/11/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,11/11/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,11/12/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,11/12/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,11/12/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,11/12/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Spain,11/12/2015,0,0,1,1,0,0,0,0,Ebola
Mali,11/12/2015,0,1,7,8,,,,6,Ebola
Liberia,11/12/2015,,,6,6,,,2,2,Ebola
Nigeria,11/12/2015,0,1,19,20,0,1,7,8,Ebola
Italy,11/12/2015,0,0,1,1,,,,0,Ebola
United Kingdom,11/12/2015,0,0,1,1,,,,0,Ebola
Guinea,11/12/2015,1,453,3351,3805,,453,2083,2536,Ebola
Mali,11/16/2015,0,1,7,8,,,,6,Ebola
United States of America,11/16/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,11/16/2015,,,6,6,,,2,2,Ebola
Sierra Leone,11/16/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,11/16/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/16/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,11/16/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,11/16/2015,1,453,3351,3805,,453,2083,2536,Ebola
Spain,11/16/2015,0,0,1,1,0,0,0,0,Ebola
Italy,11/16/2015,0,0,1,1,,,,0,Ebola
United Kingdom,11/16/2015,0,0,1,1,,,,0,Ebola
United Kingdom,11/17/2015,0,0,1,1,,,,0,Ebola
United States of America,11/17/2015,0,0,4,4,0,0,1,1,Ebola
Italy,11/17/2015,0,0,1,1,,,,0,Ebola
Liberia,11/17/2015,,,6,6,,,2,2,Ebola
Guinea,11/17/2015,0,453,3351,3804,,453,2083,2536,Ebola
Sierra Leone,11/17/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,11/17/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/17/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,11/17/2015,0,1,19,20,0,1,7,8,Ebola
Mali,11/17/2015,0,1,7,8,,,,6,Ebola
Spain,11/17/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/20/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,11/20/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,11/20/2015,0,453,3351,3804,,453,2083,2536,Ebola
Liberia,11/20/2015,,,6,6,,,2,2,Ebola
Sierra Leone,11/20/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Spain,11/20/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,11/20/2015,0,0,4,4,0,0,1,1,Ebola
Mali,11/20/2015,0,1,7,8,,,,6,Ebola
United Kingdom,11/20/2015,0,0,1,1,,,,0,Ebola
Nigeria,11/20/2015,0,1,19,20,0,1,7,8,Ebola
Italy,11/20/2015,0,0,1,1,,,,0,Ebola
United States of America,11/24/2015,0,0,4,4,0,0,1,1,Ebola
Mali,11/24/2015,0,1,7,8,,,,6,Ebola
Liberia,11/24/2015,,,6,6,,,2,2,Ebola
Nigeria,11/24/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,11/24/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,11/24/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
United Kingdom,11/24/2015,0,0,1,1,,,,0,Ebola
Guinea,11/24/2015,0,453,3351,3804,,453,2083,2536,Ebola
Italy,11/24/2015,0,0,1,1,,,,0,Ebola
Spain,11/24/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/24/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,11/26/2015,0,0,4,4,0,0,1,1,Ebola
Italy,11/26/2015,0,0,1,1,,,,0,Ebola
Guinea,11/26/2015,0,453,3351,3804,,453,2083,2536,Ebola
United Kingdom,11/26/2015,0,0,1,1,,,,0,Ebola
Liberia,11/26/2015,,,9,9,,,2,2,Ebola
Spain,11/26/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,11/26/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,11/26/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,11/26/2015,0,1,19,20,0,1,7,8,Ebola
Mali,11/26/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,11/26/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Nigeria,12/1/2015,0,1,19,20,0,1,7,8,Ebola
Italy,12/1/2015,0,0,1,1,,,,0,Ebola
Guinea,12/1/2015,0,453,3351,3804,,453,2083,2536,Ebola
Liberia,12/1/2015,,,9,9,,,2,2,Ebola
Spain,12/1/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,12/1/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,12/1/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,12/1/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,12/1/2015,0,0,1,1,0,0,0,0,Ebola
Mali,12/1/2015,0,1,7,8,,,,6,Ebola
United Kingdom,12/1/2015,0,0,1,1,,,,0,Ebola
Guinea,12/2/2015,0,453,3351,3804,,453,2083,2536,Ebola
United Kingdom,12/2/2015,0,0,1,1,,,,0,Ebola
United States of America,12/2/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,12/2/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,12/2/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/2/2015,,,9,9,,,3,3,Ebola
Sierra Leone,12/2/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,12/2/2015,0,0,1,1,0,0,0,0,Ebola
Mali,12/2/2015,0,1,7,8,,,,6,Ebola
Nigeria,12/2/2015,0,1,19,20,0,1,7,8,Ebola
Italy,12/2/2015,0,0,1,1,,,,0,Ebola
Guinea,12/3/2015,1,453,3351,3805,,453,2083,2536,Ebola
Liberia,12/3/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,12/3/2015,0,0,1,1,,,,0,Ebola
Liberia,12/3/2015,,,9,9,,,3,3,Ebola
Mali,12/3/2015,0,1,7,8,,,,6,Ebola
United States of America,12/3/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,12/3/2015,0,0,1,1,,,,0,Ebola
Spain,12/3/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,12/3/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,12/3/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,12/3/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,12/9/2015,0,453,3351,3804,,453,2083,2536,Ebola
United Kingdom,12/9/2015,0,0,1,1,,,,0,Ebola
Spain,12/9/2015,0,0,1,1,0,0,0,0,Ebola
Italy,12/9/2015,0,0,1,1,,,,0,Ebola
Liberia,12/9/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,12/9/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,12/9/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,12/9/2015,,,9,9,,,3,3,Ebola
Mali,12/9/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,12/9/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Nigeria,12/9/2015,0,1,19,20,0,1,7,8,Ebola
Italy,12/10/2015,0,0,1,1,,,,0,Ebola
Spain,12/10/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,12/10/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,12/10/2015,,,9,9,,,3,3,Ebola
Guinea,12/10/2015,0,453,3351,3804,,453,2083,2536,Ebola
United Kingdom,12/10/2015,0,0,1,1,,,,0,Ebola
United States of America,12/10/2015,0,0,4,4,0,0,1,1,Ebola
Mali,12/10/2015,0,1,7,8,,,,6,Ebola
Liberia,12/10/2015,5636,1879,3151,10666,,,,4806,Ebola
